,deliverCoin,deliverPoint,groupId,leftTime,noPassNum,packageCopyId,passNum,passRate,product_id,status,submitDate,task_id
193,960,0,10277341,0,3,23124504,17,0.8500000238418579,12714588,6,1556260329000,132398
194,0,0,10276748,0,8,23124458,12,0.6000000238418579,12714588,6,1556260166000,132398
195,1600,0,10276297,0,1,23124423,19,0.949999988079071,12714588,6,1556259923000,132398
196,1600,0,10275811,0,0,23124394,20,1.0,12714588,6,1556259733000,132398
197,1600,0,10275394,0,1,23124365,19,0.949999988079071,12714588,6,1556259558000,132398
198,0,0,10275020,0,4,23124344,16,0.800000011920929,12714588,6,1556259398000,132398
199,0,0,10274665,0,4,23124322,16,0.800000011920929,12714588,6,1556259263000,132398
200,1600,0,10290889,0,0,23114989,20,1.0,12714588,6,1556267608000,132390
201,1600,0,10274183,0,1,23114247,19,0.949999988079071,12714588,6,1556259069000,132390
202,1280,0,10273095,0,2,23112180,18,0.8999999761581421,12714588,6,1556258933000,132390
203,1600,0,10272095,0,1,23111929,19,0.949999988079071,12714588,6,1556258353000,132390
204,1280,0,10271163,0,2,23111847,18,0.8999999761581421,12714588,6,1556258179000,132390
205,1600,0,10270823,0,1,23111804,19,0.949999988079071,12714588,6,1556257813000,132390
206,1600,0,10270424,0,1,23111766,19,0.949999988079071,12714588,6,1556257670000,132390
207,1280,0,10265428,0,2,23111208,18,0.8999999761581421,12714588,6,1556257514000,132390
208,1600,0,10265447,0,1,23106844,19,0.949999988079071,12714588,6,1556255642000,132384
209,1280,0,10265201,0,2,23106740,18,0.8999999761581421,12714588,6,1556255490000,132384
210,1600,0,10265037,0,0,23106676,20,1.0,12714588,6,1556255354000,132384
211,1600,0,10264858,0,0,23106596,20,1.0,12714588,6,1556255250000,132384
212,1600,0,10264621,0,0,23106495,20,1.0,12714588,6,1556255137000,132384
213,1600,0,10264418,0,0,23106397,20,1.0,12714588,6,1556254979000,132384
214,1600,0,10264219,0,1,23106291,19,0.949999988079071,12714588,6,1556254809000,132384
215,1600,0,10263784,0,1,23106076,19,0.949999988079071,12714588,6,1556254651000,132384
216,1600,0,10263597,0,1,23105983,19,0.949999988079071,12714588,6,1556254300000,132384
217,1600,0,10263348,0,1,23105864,19,0.949999988079071,12714588,6,1556254137000,132384
218,1280,0,10261937,0,2,23105198,18,0.8999999761581421,12714588,6,1556253925000,132384
219,1280,0,10291523,0,2,23097244,18,0.8999999761581421,12714588,6,1556267962000,132368
220,1280,0,10291250,0,2,23097214,18,0.8999999761581421,12714588,6,1556267791000,132368
221,1280,0,10261160,0,2,23096641,18,0.8999999761581421,12714588,6,1556251845000,132368
222,1600,0,10259578,0,1,23096374,19,0.949999988079071,12714588,6,1556250272000,132368
223,0,0,10258335,0,4,23096207,16,0.800000011920929,12714588,6,1556249713000,132368
224,0,0,10292217,0,4,23081987,16,0.800000011920929,12714588,6,1556268482000,132343
225,1600,0,10291819,0,1,23081969,19,0.949999988079071,12714588,6,1556268225000,132343
226,1600,0,10231459,0,1,23064820,19,0.949999988079071,12714588,6,1556183577000,132314
227,0,0,10231246,0,6,23064792,14,0.699999988079071,12714588,6,1556183385000,132314
228,1280,0,10227277,0,2,23057534,18,0.8999999761581421,12714588,6,1556180825000,132288
229,960,0,10226107,0,3,23057171,17,0.8500000238418579,12714588,6,1556180266000,132288
230,1600,0,10225649,0,1,23057148,19,0.949999988079071,12714588,6,1556179898000,132288
231,1280,0,10222861,0,2,23050082,18,0.8999999761581421,12714588,6,1556179146000,132277
232,1600,0,10221768,0,0,23049990,20,1.0,12714588,6,1556177909000,132277
233,1600,0,10221405,0,1,23049583,19,0.949999988079071,12714588,6,1556177679000,132277
234,960,0,10220874,0,3,23049417,17,0.8500000238418579,12714588,6,1556177459000,132277
235,960,0,10220451,0,3,23049338,17,0.8500000238418579,12714588,6,1556177141000,132277
236,1280,0,10227775,0,2,23040081,18,0.8999999761581421,12714588,6,1556182481000,132269
237,0,0,10225337,0,4,23039905,16,0.800000011920929,12714588,6,1556179611000,132269
238,0,0,10224979,0,5,23039872,15,0.75,12714588,6,1556179443000,132269
239,1600,0,10219720,0,1,23039584,19,0.949999988079071,12714588,6,1556176805000,132269
